ID;Word;Lemma;POS;Extra;Features;HeadPosition;Relation;_;Else
156;какие;какой;DET;_;Case=Acc|Number=Plur;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#295.776#296.191
157;какое;какой;DET;_;Case=Acc|Gender=Neut|Number=Sing;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#296.191#296.606
158;максимальное;максимальный;ADJ;_;Case=Acc|Degree=Pos|Gender=Neut|Number=Sing;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#296.606#297.021
159;количество;количество;NOUN;_;Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#297.021#297.436
160;комментариев;комментарий;NOUN;_;Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#297.436#297.851
161;было;быть;AUX;_;Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#297.851#298.266
162;под;под;ADP;_;_;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#298.266#298.681
163;/;/;PUNCT;_;_;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#298.681#299.096
164;вашим;ваш;DET;_;Case=Ins|Gender=Masc|Number=Sing;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#299.096#299.511
165;видео?;видео?;SYM;_;_;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#299.511#299.926
166;/;/;PUNCT;_;_;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#299.926#300.341
167;Это;это;DET;_;Case=Acc|Gender=Neut|Number=Sing;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#300.341#300.756
168;спасибо;спасибо;NOUN;_;Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#300.756#301.171
169;большое;большой;ADJ;_;Case=Acc|Degree=Pos|Gender=Neut|Number=Sing;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#301.171#301.586
170;правительству;правительство;NOUN;_;Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#301.586#302.001
171;за;за;ADP;_;_;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#302.001#302.416
172;то;то;DET;_;Case=Acc|Gender=Neut|Number=Sing;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#302.416#302.831
173;что;что;NOUN;_;Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#302.831#303.246
174;я;я;PRON;_;Case=Nom|Number=Sing|Person=1;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#303.246#303.661
175;узнал;узнать;VERB;_;Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#303.661#304.076
176;про;про;ADP;_;_;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#304.076#304.491
177;такую;такой;DET;_;Case=Acc|Gender=Fem|Number=Sing;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#304.491#304.906
178;прекрасную;прекрасный;ADJ;_;Case=Acc|Degree=Pos|Gender=Fem|Number=Sing;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#304.906#305.321
179;группу;группа;NOUN;_;Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing;_;_;_;@tim1995-words#Татьяна_Ильдаровна_Мингалимова#305.321#305.75
180;Мне;я;PRON;_;Case=Dat|Number=Sing|Person=1;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#30.363#30.858
181;кажется;казаться;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#30.858#31.353
182;что;что;SCONJ;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#31.353#31.848
183;эта;этот;DET;_;Case=Nom|Gender=Fem|Number=Sing;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#31.848#32.343
184;громкая;громкий;ADJ;_;Case=Nom|Degree=Pos|Gender=Fem|Number=Sing;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#32.5#33.562
185;эээ;эээ;INTJ;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#33.593#34.083
186;форма;форма;NOUN;_;Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#34.083#34.573
187;высказывания;высказывание;NOUN;_;Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#34.573#35.063
188;/;/;PUNCT;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#35.063#35.553
189;агрессивная;агрессивный;ADJ;_;Case=Nom|Degree=Pos|Gender=Fem|Number=Sing;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#35.553#36.043
190;/;/;PUNCT;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#36.043#36.533
191;она;она;PRON;_;Case=Nom|Gender=Fem|Number=Sing|Person=3;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#36.533#37.023
192;возникла;возникнуть;VERB;_;Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#37.023#37.513
193;потому;потому;ADV;_;Degree=Pos;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#37.513#38.003
194;что;что;SCONJ;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#38.003#38.493
195;/;/;PUNCT;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#38.493#38.983
196;эээ;эээ;NOUN;_;Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#38.983#39.473
197;опять;опять;ADV;_;Degree=Pos;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#39.473#39.963
198;таки;таки;PART;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#39.963#40.453
199;среда;среда;NOUN;_;Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#40.453#40.943
200;в;в;ADP;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#40.943#41.433
201;которой;который;PRON;_;Case=Loc;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#41.433#41.923
202;мы;мы;PRON;_;Case=Nom|Number=Plur|Person=1;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#41.923#42.413
203;в;в;ADP;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#42.413#42.903
204;россии;россия;NOUN;_;Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#42.903#43.393
205;находимся;находиться;VERB;_;Aspect=Imp|Mood=Ind|Number=Plur|Person=1|Tense=Pres|VerbForm=Fin|Voice=Mid;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#43.393#43.883
206;растем;расти;NOUN;_;Animacy=Inan|Case=Ins|Gender=Masc|Number=Sing;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#43.883#44.373
207;существуем;существовать;VERB;_;Aspect=Imp|Mood=Ind|Number=Plur|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#44.373#44.863
208;она;она;PRON;_;Case=Nom|Gender=Fem|Number=Sing|Person=3;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#44.863#45.353
209;эээ;эээ;INTJ;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#45.353#45.843
210;очень;очень;ADV;_;Degree=Pos;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#45.843#46.333
211;/;/;PUNCT;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#46.333#46.823
212;одновременно;одновременно;ADV;_;Degree=Pos;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#46.823#47.313
213;холодная;холодный;ADJ;_;Case=Nom|Degree=Pos|Gender=Fem|Number=Sing;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#47.313#47.803
214;и;и;CCONJ;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#47.803#48.293
215;равнодушная;равнодушный;ADJ;_;Case=Nom|Degree=Pos|Gender=Fem|Number=Sing;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#48.293#48.783
216;к;к;ADP;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#48.783#49.273
217;тебе;ты;PRON;_;Case=Dat|Number=Sing|Person=2;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#49.273#49.785
218;и;и;CCONJ;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#50.468#50.84
219;тебе;ты;PRON;_;Case=Dat|Number=Sing|Person=2;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#50.84#51.212
220;кажется;казаться;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#51.212#51.584
221;что;что;SCONJ;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#51.584#51.956
222;единственный;единственный;ADJ;_;Case=Nom|Degree=Pos|Gender=Masc|Number=Sing;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#51.956#52.328
223;способ;способ;NOUN;_;Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#52.328#52.7
224;чтобы;чтобы;SCONJ;_;Mood=Cnd;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#52.7#53.072
225;тебя;ты;PRON;_;Case=Acc|Number=Sing|Person=2;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#53.072#53.444
226;здесь;здесь;ADV;_;Degree=Pos;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#53.444#53.816
227;как-то;как-то;ADV;_;Degree=Pos;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#53.816#54.188
228;услышали;слышать;VERB;_;Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#54.188#54.56
229;это;это;PRON;_;Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#54.56#54.932
230;/;/;PUNCT;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#54.932#55.304
231;не;не;PART;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#55.304#55.676
232;сказать;сказать;VERB;_;Aspect=Perf|VerbForm=Inf|Voice=Act;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#55.676#56.048
233;что-то;что-то;PRON;_;Case=Acc;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#56.048#56.42
234;спокойно;спокойно;ADV;_;Degree=Pos;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#56.42#56.792
235;именно;именно;PART;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#56.792#57.164
236;не;не;PART;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#57.164#57.536
237;знаю;знать;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#57.536#57.908
238;прокричать;кричать;VERB;_;Aspect=Imp|VerbForm=Inf|Voice=Act;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#57.908#58.28
239;/;/;PUNCT;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#58.28#58.652
240;ээээ;ээээ;INTJ;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#58.652#59.024
241;сделать;делать;VERB;_;Aspect=Perf|VerbForm=Inf|Voice=Act;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#59.024#59.396
242;максимально;максимально;ADV;_;Degree=Pos;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#59.396#59.768
243;громко;громко;ADV;_;Degree=Pos;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#59.768#60.14
244;/;/;PUNCT;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#60.14#60.512
245;достучаться;достучаться;VERB;_;Aspect=Perf|VerbForm=Inf|Voice=Mid;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#60.512#60.884
246;/;/;PUNCT;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#60.884#61.256
247;обратить;обратить;VERB;_;Aspect=Perf|VerbForm=Inf|Voice=Act;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#61.256#61.628
248;на;на;ADP;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#61.628#62.0
249;себя;себя;PRON;_;Case=Acc;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#62.0#62.372
250;внимание;внимание;NOUN;_;Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#62.372#62.744
251;/;/;PUNCT;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#62.744#63.116
252;иначе;иначе;CCONJ;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#63.116#63.488
253;тебя;ты;PRON;_;Case=Acc|Number=Sing|Person=2;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#63.488#63.86
254;просто;просто;PART;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#63.86#64.232
255;как;как;ADV;_;Degree=Pos;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#64.232#64.604
256;бы;бы;PART;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#64.604#64.976
257;и;и;PART;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#64.976#65.348
258;нету;нет;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#65.348#65.75
259;Да;да;PART;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#99.843#100.205
260;мы;мы;PRON;_;Case=Nom|Number=Plur|Person=1;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#100.205#100.567
261;же;же;PART;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#100.567#100.929
262;мрачные;мрачный;ADJ;_;Case=Nom|Degree=Pos|Number=Plur;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#100.929#101.291
263;ребята;ребята;NOUN;_;Animacy=Anim|Case=Nom|Gender=Neut|Number=Plur;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#101.291#101.656
264;Ну;ну;PART;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#101.968#102.469
265;/;/;PUNCT;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#102.469#102.97
266;это;это;PRON;_;Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#102.97#103.471
267;все;весь;DET;_;Case=Nom|Gender=Neut|Number=Sing;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#103.471#103.972
268;не;не;PART;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#103.972#104.473
269;мы;мы;PRON;_;Case=Nom|Number=Plur|Person=1;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#104.473#104.974
270;приносим;приносить;VERB;_;Aspect=Imp|Mood=Ind|Number=Plur|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#104.974#105.475
271;беды;беда;NOUN;_;Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#105.475#105.976
272;/;/;PUNCT;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#105.976#106.477
273;ну;ну;PART;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#106.477#106.978
274;да;да;PART;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#106.978#107.479
275;нам;мы;PRON;_;Case=Dat|Number=Plur|Person=1;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#107.479#107.98
276;пытались;пытаться;VERB;_;Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#107.98#108.481
277;помешать;мешать;VERB;_;Aspect=Perf|VerbForm=Inf|Voice=Act;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#108.481#108.982
278;провести;провести;VERB;_;Aspect=Perf|VerbForm=Inf|Voice=Act;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#108.982#109.483
279;наш;наш;DET;_;Case=Acc|Gender=Masc|Number=Sing;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#109.483#109.984
280;тур;тур;NOUN;_;Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#109.984#110.488
281;эээ;эээ;INTJ;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#111.116#111.504
282;всеми;весь;DET;_;Case=Ins|Number=Plur;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#111.504#111.892
283;возможными;возможный;ADJ;_;Case=Ins|Degree=Pos|Number=Plur;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#111.892#112.28
284;способами;способ;NOUN;_;Animacy=Inan|Case=Ins|Gender=Masc|Number=Plur;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#112.28#112.668
285;потому;потому;ADV;_;Degree=Pos;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#112.668#113.056
286;что;что;SCONJ;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#113.056#113.444
287;по;по;ADP;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#113.444#113.832
288;закону;закон;NOUN;_;Animacy=Inan|Case=Dat|Gender=Masc|Number=Sing;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#113.832#114.22
289;этого;это;PRON;_;Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#114.22#114.608
290;никак;никак;ADV;_;Degree=Pos;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#114.608#114.996
291;нельзя;нельзя;ADV;_;Degree=Pos;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#114.996#115.384
292;было;быть;AUX;_;Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#115.384#115.772
293;/;/;PUNCT;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#115.772#116.16
294;не;не;PART;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#116.16#116.548
295;к;к;ADP;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#116.548#116.936
296;чему;что;PRON;_;Case=Dat;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#116.936#117.324
297;придраться;придраться;VERB;_;Aspect=Imp|VerbForm=Inf|Voice=Mid;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#117.324#117.712
298;было;быть;AUX;_;Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#117.712#118.1
299;ни;ни;PART;_;Polarity=Neg;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#118.1#118.488
300;в;в;ADP;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#118.488#118.876
301;нашем;наш;DET;_;Case=Loc|Gender=Masc|Number=Sing;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#118.876#119.264
302;последнем;последний;ADJ;_;Case=Loc|Degree=Pos|Gender=Masc|Number=Sing;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#119.264#119.652
303;видео;видео;NOUN;_;Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#119.652#120.04
304;ни;ни;CCONJ;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#120.04#120.428
305;в;в;ADP;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#120.428#120.816
306;наших;наш;DET;_;Case=Loc|Number=Plur;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#120.816#121.204
307;треках;трек;NOUN;_;Animacy=Inan|Case=Loc|Gender=Fem|Number=Plur;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#121.204#121.604
308;никакого;никакой;DET;_;Case=Gen|Gender=Neut|Number=Sing;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#122.372#123.038
309;постановления;постановление;NOUN;_;Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#123.038#123.704
310;никаких;никакой;DET;_;Case=Gen|Number=Plur;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#123.704#124.37
311;бумаг;бумага;NOUN;_;Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#124.37#125.036
312;нигде;нигде;ADV;_;Degree=Pos;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#125.036#125.702
313;не;не;PART;_;_;_;_;_;@avk1995f-words#Анастасия_Вадимовна_Креслина#125.702#126.368
